Result for strategy BBMod
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|      VLX/USDT |      9 |           1.95 |          17.55 |          2810.675 |         281.07 |        1:07:00 |     8     0     1  88.9 |
|     POND/USDT |      4 |           1.99 |           7.94 |          2118.333 |         211.83 |        1:09:00 |     3     0     1  75.0 |
|     RACA/USDT |     24 |           1.56 |          37.45 |          1960.366 |         196.04 |        1:18:00 |    20     0     4  83.3 |
|    SIDUS/USDT |     20 |           1.56 |          31.17 |          1672.200 |         167.22 |        1:27:00 |    16     0     4  80.0 |
|      IMX/USDT |     10 |           0.21 |           2.09 |          1490.953 |         149.10 |        2:00:00 |     7     0     3  70.0 |
|    ATLAS/USDT |      3 |          -1.25 |          -3.76 |          1412.326 |         141.23 |        4:22:00 |     2     0     1  66.7 |
| BABYDOGE/USDT |     38 |           2.37 |          89.94 |          1273.052 |         127.31 |        1:18:00 |    33     0     5  86.8 |
|     CSPR/USDT |      7 |           0.17 |           1.22 |          1052.016 |         105.20 |        1:28:00 |     4     0     3  57.1 |
|      EDG/USDT |      8 |           2.51 |          20.10 |           960.229 |          96.02 |        2:08:00 |     6     0     2  75.0 |
|     SAMO/USDT |     16 |           0.25 |           3.94 |           565.263 |          56.53 |        2:25:00 |    10     0     6  62.5 |
|      LRC/USDT |      5 |           1.83 |           9.16 |           405.339 |          40.53 |        1:14:00 |     4     0     1  80.0 |
|      EFI/USDT |      9 |           1.71 |          15.38 |           170.109 |          17.01 |        1:33:00 |     7     0     2  77.8 |
|     SAND/USDT |      4 |           2.28 |           9.12 |           106.980 |          10.70 |        1:41:00 |     4     0     0   100 |
|      NFT/USDT |      1 |           2.53 |           2.53 |            12.324 |           1.23 |        0:10:00 |     1     0     0   100 |
|      WIN/USDT |      2 |           0.13 |           0.26 |             1.767 |           0.18 |        1:52:00 |     1     0     1  50.0 |
|     CTSI/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     MOVR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     IOTX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      OMG/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      CKB/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      BTC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      UMA/USDT |      1 |          -7.65 |          -7.65 |           -44.629 |          -4.46 |        7:25:00 |     0     0     1     0 |
|      PLA/USDT |      7 |          -0.48 |          -3.38 |           -83.397 |          -8.34 |        2:24:00 |     4     0     3  57.1 |
|      CHR/USDT |      2 |          -2.56 |          -5.12 |           -83.818 |          -8.38 |        3:20:00 |     0     0     2     0 |
|      RGT/USDT |      1 |          -5.46 |          -5.46 |          -303.572 |         -30.36 |        4:05:00 |     0     0     1     0 |
|     FLUX/USDT |     25 |           1.62 |          40.53 |          -335.870 |         -33.59 |        1:46:00 |    20     0     5  80.0 |
|       AR/USDT |      4 |          -4.97 |         -19.88 |          -418.471 |         -41.85 |        2:46:00 |     1     0     3  25.0 |
|      ATP/USDT |     17 |          -1.14 |         -19.44 |          -458.710 |         -45.87 |        2:22:00 |    10     0     7  58.8 |
|      LTO/USDT |      2 |          -6.02 |         -12.03 |          -691.289 |         -69.13 |        2:55:00 |     0     0     2     0 |
|      ACH/USDT |      9 |          -0.50 |          -4.52 |          -734.849 |         -73.48 |        2:03:00 |     5     0     4  55.6 |
|     AIOZ/USDT |     10 |           1.47 |          14.74 |         -1034.609 |        -103.46 |        1:27:00 |     8     0     2  80.0 |
|    SAITO/USDT |     34 |           1.47 |          49.81 |         -1194.009 |        -119.40 |        1:56:00 |    25     0     9  73.5 |
|    FRONT/USDT |      3 |          -0.72 |          -2.16 |         -2495.696 |        -249.57 |        2:22:00 |     1     0     2  33.3 |
|      XPR/USDT |      2 |          -1.45 |          -2.90 |         -4733.580 |        -473.36 |        2:58:00 |     1     0     1  50.0 |
|    SUPER/USDT |      2 |          -0.45 |          -0.90 |         -6531.647 |        -653.16 |        2:22:00 |     1     0     1  50.0 |
|      INJ/USDT |      7 |          -0.34 |          -2.40 |         -7272.352 |        -727.24 |        1:59:00 |     4     0     3  57.1 |
|     ELON/USDT |      8 |           0.03 |           0.26 |         -7280.713 |        -728.07 |        1:21:00 |     7     0     1  87.5 |
|      OCT/USDT |     29 |           1.20 |          34.94 |         -8251.938 |        -825.19 |        1:51:00 |    22     0     7  75.9 |
|    SUNNY/USDT |     50 |           0.47 |          23.32 |         -8699.130 |        -869.91 |        1:42:00 |    36     0    14  72.0 |
|      SLC/USDT |     18 |           0.61 |          11.06 |        -11325.431 |       -1132.54 |        2:09:00 |    11     0     7  61.1 |
|     OOKI/USDT |     18 |           1.02 |          18.44 |        -15341.193 |       -1534.12 |        1:22:00 |    14     0     4  77.8 |
|     ROSE/USDT |      6 |           1.03 |           6.18 |        -24001.858 |       -2400.19 |        1:52:00 |     4     0     2  66.7 |
|      ONG/USDT |      2 |          -8.53 |         -17.07 |        -34084.753 |       -3408.48 |        3:35:00 |     0     0     2     0 |
|     API3/USDT |     14 |           0.03 |           0.48 |        -35559.092 |       -3555.91 |        1:53:00 |    10     0     4  71.4 |
|     BURP/USDT |     10 |          -1.53 |         -15.33 |        -42496.311 |       -4249.63 |        3:12:00 |     5     0     5  50.0 |
|      UFO/USDT |     38 |           1.34 |          50.89 |        -65533.482 |       -6553.35 |        1:29:00 |    31     0     7  81.6 |
|         TOTAL |   1631 |           1.33 |        2170.70 |       1032774.429 |      103277.44 |        1:33:00 |  1263     0   368  77.4 |
=================================================================================== BUY TAG STATS ====================================================================================
|                                                     TAG |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
