Result for strategy BBMod
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|  SAITAMA/USDT |      2 |           1.69 |           3.38 |            15.497 |           1.55 |        1:22:00 |     2     0     0   100 |
|      UOS/USDT |      2 |           2.04 |           4.07 |            15.392 |           1.54 |        0:18:00 |     2     0     0   100 |
|    CHAMP/USDT |      4 |           0.66 |           2.65 |            14.150 |           1.42 |        0:59:00 |     3     0     1  75.0 |
|      NRV/USDT |      1 |           4.03 |           4.03 |            12.865 |           1.29 |        0:10:00 |     1     0     0   100 |
|    FLOKI/USDT |      1 |           3.57 |           3.57 |            12.832 |           1.28 |        2:35:00 |     1     0     0   100 |
|     CORN/USDT |      1 |           2.43 |           2.43 |            11.299 |           1.13 |        0:55:00 |     1     0     0   100 |
|      KDA/USDT |      2 |           1.15 |           2.30 |            10.387 |           1.04 |        2:25:00 |     2     0     0   100 |
|      KYL/USDT |      1 |           2.36 |           2.36 |             9.962 |           1.00 |        1:00:00 |     1     0     0   100 |
|      ACH/USDT |      3 |           0.97 |           2.91 |             9.825 |           0.98 |        1:42:00 |     2     0     1  66.7 |
|     RNDR/USDT |      1 |           2.54 |           2.54 |             9.129 |           0.91 |        0:10:00 |     1     0     0   100 |
|      MXC/USDT |      1 |           1.97 |           1.97 |             9.025 |           0.90 |        0:20:00 |     1     0     0   100 |
|      VRT/USDT |      2 |           1.11 |           2.22 |             8.148 |           0.81 |        2:18:00 |     1     0     1  50.0 |
|      PYR/USDT |      1 |           2.52 |           2.52 |             8.027 |           0.80 |        0:10:00 |     1     0     0   100 |
|      KMA/USDT |      1 |           2.27 |           2.27 |             7.837 |           0.78 |        0:25:00 |     1     0     0   100 |
|    METIS/USDT |      2 |           0.82 |           1.63 |             7.739 |           0.77 |        2:20:00 |     1     0     1  50.0 |
|      IMX/USDT |      1 |           1.96 |           1.96 |             7.695 |           0.77 |        3:05:00 |     1     0     0   100 |
|     RUFF/USDT |      1 |           1.88 |           1.88 |             7.414 |           0.74 |        0:55:00 |     1     0     0   100 |
|      WAG/USDT |      1 |           1.75 |           1.75 |             7.401 |           0.74 |        0:20:00 |     1     0     0   100 |
|     CEEK/USDT |      1 |           1.81 |           1.81 |             6.466 |           0.65 |        0:15:00 |     1     0     0   100 |
|     VIDY/USDT |      1 |           1.40 |           1.40 |             5.566 |           0.56 |        1:30:00 |     1     0     0   100 |
|     BLIN/USDT |      2 |           0.37 |           0.74 |             4.345 |           0.43 |        1:50:00 |     1     0     1  50.0 |
|      SIS/USDT |      6 |          -0.15 |          -0.91 |             2.901 |           0.29 |        1:50:00 |     5     0     1  83.3 |
|   ALPACA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    BENQI/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      LRC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
| BABYDOGE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      VLX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       AR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    AKITA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     CTSI/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      ONG/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      BTT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      UMA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    ROUTE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      ATP/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     SAMO/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     MOVR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     ARPA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     IOTX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     FLUX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     RACA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     SUKU/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     CSPR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      NFT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      OMG/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      CKB/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      RGT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      BTC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      CHR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      EDG/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     POND/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      WIN/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     AIOZ/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     QRDO/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      XPR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     ELON/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      PLA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      EFI/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   PEOPLE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      LTO/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    FRONT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    ATLAS/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     SAND/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     TAUR/USDT |      3 |           0.12 |           0.35 |            -0.225 |          -0.02 |        2:48:00 |     2     0     1  66.7 |
|    SIDUS/USDT |      1 |          -0.93 |          -0.93 |            -4.286 |          -0.43 |        2:30:00 |     0     0     1     0 |
|    SAITO/USDT |      3 |          -0.88 |          -2.64 |            -5.200 |          -0.52 |        4:22:00 |     1     0     2  33.3 |
|      INJ/USDT |      1 |          -2.04 |          -2.04 |            -7.211 |          -0.72 |        2:45:00 |     0     0     1     0 |
|     BURP/USDT |      2 |          -0.54 |          -1.09 |            -7.352 |          -0.74 |        3:20:00 |     1     0     1  50.0 |
|    SUPER/USDT |      1 |          -2.76 |          -2.76 |            -9.117 |          -0.91 |        4:35:00 |     0     0     1     0 |
|      SOS/USDT |      1 |          -2.25 |          -2.25 |           -10.893 |          -1.09 |        3:10:00 |     0     0     1     0 |
|      OCT/USDT |      1 |          -3.44 |          -3.44 |           -16.637 |          -1.66 |        3:30:00 |     0     0     1     0 |
|      FEG/USDT |      3 |          -1.76 |          -5.29 |           -17.029 |          -1.70 |        2:07:00 |     1     0     2  33.3 |
|    SUNNY/USDT |      2 |          -3.18 |          -6.36 |           -22.041 |          -2.20 |        3:48:00 |     0     0     2     0 |
|      SLP/USDT |      1 |          -5.05 |          -5.05 |           -22.586 |          -2.26 |        6:30:00 |     0     0     1     0 |
|     OOKI/USDT |      1 |          -4.96 |          -4.96 |           -23.349 |          -2.33 |        3:25:00 |     0     0     1     0 |
|      SLC/USDT |      2 |          -3.16 |          -6.32 |           -24.031 |          -2.40 |        4:25:00 |     0     0     2     0 |
|     ROSE/USDT |      1 |          -7.29 |          -7.29 |           -33.236 |          -3.32 |        5:10:00 |     0     0     1     0 |
|     API3/USDT |      6 |          -2.05 |         -12.31 |           -48.230 |          -4.82 |        2:29:00 |     3     0     3  50.0 |
|      UFO/USDT |      2 |          -9.44 |         -18.87 |           -84.585 |          -8.46 |        3:15:00 |     0     0     2     0 |
|         TOTAL |    119 |           0.88 |         104.71 |           391.374 |          39.14 |        1:52:00 |    86     0    33  72.3 |
============================================================================ BUY TAG STATS ============================================================================
|                                      TAG |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|------------------------------------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|                                     vwap |     68 |           0.58 |          39.45 |           131.678 |          13.17 |        1:45:00 |    49     0    19  72.1 |
|                                   clucHA |     20 |           1.55 |          30.93 |           124.125 |          12.41 |        2:04:00 |    14     0     6  70.0 |
|                                      ewo |      2 |           6.81 |          13.61 |            44.561 |           4.46 |        1:02:00 |     2     0     0   100 |
|                                  nfix_39 |      6 |           1.69 |          10.14 |            34.383 |           3.44 |        1:32:00 |     5     0     1  83.3 |
|             local_uptrend local_uptrend2 |      5 |           0.63 |           3.15 |            18.677 |           1.87 |        0:56:00 |     4     0     1  80.0 |
| local_uptrend clucHA vwap local_uptrend2 |      1 |           4.03 |           4.03 |            12.865 |           1.29 |        0:10:00 |     1     0     0   100 |
|                            local_uptrend |      1 |           2.81 |           2.81 |            12.551 |           1.26 |        0:05:00 |     1     0     0   100 |
|                                  nfi7_33 |      2 |           1.94 |           3.88 |            11.913 |           1.19 |        1:55:00 |     1     0     1  50.0 |
|                       clucHA nfi_32 vwap |      1 |           2.67 |           2.67 |            11.345 |           1.13 |        0:55:00 |     1     0     0   100 |
|            local_uptrend ewo clucHA vwap |      1 |           2.41 |           2.41 |            11.126 |           1.11 |        0:45:00 |     1     0     0   100 |
|                     local_uptrend clucHA |      1 |           2.36 |           2.36 |             9.962 |           1.00 |        1:00:00 |     1     0     0   100 |
|                           clucHA nfix_39 |      1 |           2.27 |           2.27 |             8.950 |           0.90 |        1:20:00 |     1     0     0   100 |
|                              clucHA vwap |      5 |          -0.02 |          -0.09 |             0.245 |           0.02 |        3:20:00 |     3     0     2  60.0 |
|                                   nfi_32 |      1 |          -2.76 |          -2.76 |            -9.117 |          -0.91 |        4:35:00 |     0     0     1     0 |
|                              nfi_32 vwap |      1 |          -2.87 |          -2.87 |            -9.495 |          -0.95 |        4:15:00 |     0     0     1     0 |
|                       local_uptrend vwap |      3 |          -2.43 |          -7.29 |           -22.393 |          -2.24 |        3:50:00 |     2     0     1  66.7 |
|                                    TOTAL |    119 |           0.88 |         104.71 |           391.374 |          39.14 |        1:52:00 |    86     0    33  72.3 |
======================================================= SELL REASON STATS ========================================================
|        Sell Reason |   Sells |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|--------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
| trailing_stop_loss |      86 |     83     0     3  96.5 |           2.32 |         199.48 |           763.735 |          66.49 |
|   sell_drop_bb_mid |      33 |      3     0    30   9.1 |          -2.87 |         -94.77 |          -372.361 |         -31.59 |
====================================================== LEFT OPEN TRADES REPORT ======================================================
|   Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|--------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|  TOTAL |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
=============== SUMMARY METRICS ================
| Metric                 | Value               |
|------------------------+---------------------|
| Backtesting from       | 2022-02-16 00:00:00 |
| Backtesting to         | 2022-02-28 02:35:00 |
| Max open trades        | 3                   |
|                        |                     |
| Total/Daily Avg Trades | 119 / 9.92          |
| Starting balance       | 1000 USDT           |
| Final balance          | 1391.374 USDT       |
| Absolute profit        | 391.374 USDT        |
| Total profit %         | 39.14%              |
| Trades per day         | 9.92                |
| Avg. daily profit %    | 3.26%               |
| Avg. stake amount      | 387.565 USDT        |
| Total trade volume     | 46120.226 USDT      |
|                        |                     |
| Best Pair              | GARI/USDT 29.72%    |
| Worst Pair             | UFO/USDT -18.87%    |
| Best trade             | POKT/USDT 11.36%    |
| Worst trade            | CHAMP/USDT -18.00%  |
| Best day               | 109.243 USDT        |
| Worst day              | -68.006 USDT        |
| Days win/draw/lose     | 7 / 0 / 6           |
| Avg. Duration Winners  | 1:05:00             |
| Avg. Duration Loser    | 3:54:00             |
| Rejected Buy signals   | 33480               |
| Entry/Exit Timeouts    | 0 / 0               |
|                        |                     |
| Min balance            | 940.481 USDT        |
| Max balance            | 1472.365 USDT       |
| Drawdown (Account)     | 7.47%               |
| Drawdown               | 103.061 USDT        |
| Drawdown high          | 378.921 USDT        |
| Drawdown low           | 275.86 USDT         |
| Drawdown Start         | 2022-02-24 03:30:00 |
| Drawdown End           | 2022-02-24 09:40:00 |
| Market change          | -24.99%             |
================================================
