Result for strategy E0V1E320
=============================================================== BACKTESTING REPORT ===============================================================
|            Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|        RPL/USDT |         2 |           1.67 |           3.35 |          5509.488 |         550.95 |         5:05:00 |     1     0     1  50.0 |
|        BAR/USDT |         3 |           0.46 |           1.37 |          5454.295 |         545.43 |         1:25:00 |     2     0     1  66.7 |
|       USTC/USDT |         7 |          -2.79 |         -19.55 |          5328.254 |         532.83 |         3:23:00 |     3     0     4  42.9 |
|        REQ/USDT |         4 |           1.45 |           5.80 |          5257.502 |         525.75 |         0:40:00 |     2     0     2  50.0 |
|        TKO/USDT |         5 |           0.51 |           2.54 |          5192.715 |         519.27 |         0:41:00 |     3     0     2  60.0 |
|       IOTA/USDT |         3 |           2.29 |           6.87 |          4885.015 |         488.50 |         0:33:00 |     3     0     0   100 |
|      AIXBT/USDT |         4 |           1.05 |           4.21 |          4599.747 |         459.97 |         4:30:00 |     2     0     2  50.0 |
|        YGG/USDT |         3 |           1.10 |           3.29 |          4516.423 |         451.64 |         6:50:00 |     2     0     1  66.7 |
|       LUNA/USDT |         3 |           1.35 |           4.04 |          4461.952 |         446.20 |         0:32:00 |     2     0     1  66.7 |
|        EDU/USDT |         7 |          -0.73 |          -5.13 |          4195.241 |         419.52 |         5:01:00 |     5     0     2  71.4 |
|        SOL/USDT |         4 |           1.91 |           7.65 |          4075.488 |         407.55 |         0:31:00 |     4     0     0   100 |
|        AMP/USDT |        18 |           2.39 |          43.07 |          4045.153 |         404.52 |         0:58:00 |    13     0     5  72.2 |
|      SHELL/USDT |         2 |           1.24 |           2.49 |          4001.095 |         400.11 |         1:25:00 |     1     0     1  50.0 |
|        BEL/USDT |        10 |          -1.29 |         -12.91 |          3765.519 |         376.55 |         6:52:00 |     4     0     6  40.0 |
|        ARK/USDT |         6 |           0.61 |           3.67 |          3672.736 |         367.27 |         0:52:00 |     3     0     3  50.0 |
|       MOVE/USDT |         6 |           1.37 |           8.23 |          3619.739 |         361.97 |         0:27:00 |     4     0     2  66.7 |
|      FORTH/USDT |         6 |           2.11 |          12.64 |          3565.282 |         356.53 |         1:18:00 |     5     0     1  83.3 |
|        XLM/USDT |         7 |           1.86 |          13.03 |          3542.977 |         354.30 |         0:32:00 |     6     0     1  85.7 |
|        STG/USDT |         5 |           2.59 |          12.97 |          3504.800 |         350.48 |         0:50:00 |     5     0     0   100 |
|        ATA/USDT |         4 |           0.54 |           2.17 |          3497.283 |         349.73 |         2:25:00 |     3     0     1  75.0 |
|       OSMO/USDT |         1 |           3.38 |           3.38 |          3474.139 |         347.41 |         0:20:00 |     1     0     0   100 |
|        BSW/USDT |         4 |           2.39 |           9.55 |          3405.867 |         340.59 |         0:49:00 |     3     0     1  75.0 |
|        SNT/USDT |        13 |           0.85 |          11.08 |          3386.992 |         338.70 |         1:31:00 |    10     0     3  76.9 |
|     COOKIE/USDT |         1 |           3.52 |           3.52 |          3329.715 |         332.97 |         0:05:00 |     1     0     0   100 |
|        CFX/USDT |         1 |           2.20 |           2.20 |          3254.590 |         325.46 |         0:30:00 |     1     0     0   100 |
|        NOT/USDT |        14 |           1.87 |          26.14 |          3247.912 |         324.79 |         1:09:00 |    12     0     2  85.7 |
|      STRAX/USDT |         7 |           1.38 |           9.65 |          3245.392 |         324.54 |         1:07:00 |     5     0     2  71.4 |
|         IQ/USDT |         5 |           4.03 |          20.13 |          3224.775 |         322.48 |         0:29:00 |     5     0     0   100 |
|      HMSTR/USDT |         7 |           1.11 |           7.76 |          3160.356 |         316.04 |         3:14:00 |     3     0     4  42.9 |
|      COMBO/USDT |         1 |           2.99 |           2.99 |          3016.231 |         301.62 |         4:20:00 |     1     0     0   100 |
|        RSR/USDT |         6 |          -1.15 |          -6.88 |          2891.641 |         289.16 |         9:42:00 |     4     0     2  66.7 |
|        ADX/USDT |         2 |           4.58 |           9.17 |          2837.173 |         283.72 |         1:20:00 |     2     0     0   100 |
|      PENGU/USDT |         5 |           1.40 |           7.00 |          2711.384 |         271.14 |         0:42:00 |     3     0     2  60.0 |
|        XNO/USDT |         4 |           1.25 |           4.98 |          2643.084 |         264.31 |         0:39:00 |     4     0     0   100 |
|        WIN/USDT |         3 |           1.77 |           5.31 |          2550.363 |         255.04 |         0:37:00 |     3     0     0   100 |
|        CRV/USDT |         4 |           2.16 |           8.65 |          2542.532 |         254.25 |         0:56:00 |     4     0     0   100 |
|        KSM/USDT |         5 |           1.87 |           9.34 |          2528.581 |         252.86 |         0:27:00 |     4     0     1  80.0 |
|      LISTA/USDT |         6 |          -2.45 |         -14.68 |          2463.506 |         246.35 |         3:15:00 |     5     0     1  83.3 |
|        AVA/USDT |         6 |           0.75 |           4.51 |          2455.019 |         245.50 |         5:39:00 |     5     0     1  83.3 |
|       DOGS/USDT |         3 |           5.25 |          15.76 |          2423.382 |         242.34 |         0:32:00 |     3     0     0   100 |
