Result for strategy E0V1E
=============================================================== BACKTESTING REPORT ==============================================================
|          Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|      RIF/USDT |         2 |           2.02 |           4.04 |            75.885 |           7.59 |          1:15:00 |     2     0     0   100 |
|     DOCK/USDT |         2 |           2.31 |           4.63 |            73.916 |           7.39 |          0:08:00 |     2     0     0   100 |
|      FLM/USDT |         1 |           6.36 |           6.36 |            71.970 |           7.20 |          0:10:00 |     1     0     0   100 |
|     IOTX/USDT |         1 |           2.10 |           2.10 |            65.748 |           6.57 |          0:20:00 |     1     0     0   100 |
|      SEI/USDT |         3 |           2.13 |           6.39 |            65.292 |           6.53 |          0:33:00 |     3     0     0   100 |
|      ACM/USDT |         3 |           2.76 |           8.29 |            59.287 |           5.93 |          1:32:00 |     2     0     1  66.7 |
|      SKL/USDT |         1 |           2.24 |           2.24 |            58.696 |           5.87 |          0:35:00 |     1     0     0   100 |
|     NTRN/USDT |         1 |           2.26 |           2.26 |            54.485 |           5.45 |          1:05:00 |     1     0     0   100 |
|     FLUX/USDT |         1 |           1.97 |           1.97 |            54.244 |           5.42 |          1:05:00 |     1     0     0   100 |
|    JASMY/USDT |         1 |           2.34 |           2.34 |            52.926 |           5.29 |          0:25:00 |     1     0     0   100 |
|     ARDR/USDT |         1 |           2.80 |           2.80 |            52.701 |           5.27 |          0:25:00 |     1     0     0   100 |
|      REQ/USDT |         1 |           3.29 |           3.29 |            51.491 |           5.15 |          0:05:00 |     1     0     0   100 |
|    CYBER/USDT |         2 |           1.52 |           3.04 |            51.330 |           5.13 |          0:40:00 |     2     0     0   100 |
|       ID/USDT |         1 |           1.67 |           1.67 |            50.021 |           5.00 |          0:30:00 |     1     0     0   100 |
|     OOKI/USDT |         7 |          -0.49 |          -3.41 |            48.068 |           4.81 | 2 days, 12:44:00 |     6     0     1  85.7 |
|      ATM/USDT |         2 |           3.17 |           6.34 |            47.487 |           4.75 |          2:18:00 |     1     0     1  50.0 |
|      DIA/USDT |         3 |           0.01 |           0.04 |            47.455 |           4.75 |          1:23:00 |     2     0     1  66.7 |
|      TIA/USDT |         1 |           1.92 |           1.92 |            46.805 |           4.68 |          0:30:00 |     1     0     0   100 |
|      VIB/USDT |         1 |           2.44 |           2.44 |            44.648 |           4.46 |          0:25:00 |     1     0     0   100 |
|      REI/USDT |         4 |           0.34 |           1.38 |            44.208 |           4.42 |          1:51:00 |     2     0     2  50.0 |
|      ONG/USDT |         2 |           5.29 |          10.58 |            43.981 |           4.40 |          2:25:00 |     1     0     1  50.0 |
|      SYN/USDT |         1 |           1.43 |           1.43 |            43.116 |           4.31 |          0:45:00 |     1     0     0   100 |
|     IOTA/USDT |         1 |           1.23 |           1.23 |            36.756 |           3.68 |          2:00:00 |     1     0     0   100 |
|     STPT/USDT |         2 |           1.20 |           2.39 |            36.116 |           3.61 |          0:38:00 |     2     0     0   100 |
|      OXT/USDT |         3 |           1.46 |           4.38 |            35.765 |           3.58 |          0:35:00 |     3     0     0   100 |
|      ELF/USDT |         1 |           1.11 |           1.11 |            35.195 |           3.52 |          0:30:00 |     1     0     0   100 |
|     LQTY/USDT |         1 |           2.20 |           2.20 |            34.360 |           3.44 |          0:30:00 |     1     0     0   100 |
|      SNT/USDT |         3 |           0.58 |           1.75 |            34.013 |           3.40 |         22:18:00 |     2     0     1  66.7 |
|      LPT/USDT |         3 |           1.56 |           4.67 |            33.469 |           3.35 |          0:52:00 |     2     0     1  66.7 |
|     IDEX/USDT |         1 |           3.05 |           3.05 |            32.380 |           3.24 |          0:05:00 |     1     0     0   100 |
|     GLMR/USDT |         1 |           2.17 |           2.17 |            32.336 |           3.23 |          0:55:00 |     1     0     0   100 |
|      PSG/USDT |         2 |           1.91 |           3.83 |            25.097 |           2.51 |          0:18:00 |     2     0     0   100 |
|      MAV/USDT |         1 |           0.80 |           0.80 |            25.034 |           2.50 |          0:35:00 |     1     0     0   100 |
|      CVP/USDT |         1 |           1.66 |           1.66 |            24.830 |           2.48 |          0:25:00 |     1     0     0   100 |
|      BLZ/USDT |         1 |           2.43 |           2.43 |            23.001 |           2.30 |          0:45:00 |     1     0     0   100 |
|   ALPINE/USDT |         2 |           0.67 |           1.33 |            22.375 |           2.24 |          0:42:00 |     2     0     0   100 |
|      ILV/USDT |         1 |           1.04 |           1.04 |            20.783 |           2.08 |          0:25:00 |     1     0     0   100 |
|     POWR/USDT |         2 |           0.51 |           1.03 |            20.527 |           2.05 |          0:28:00 |     2     0     0   100 |
|    QUICK/USDT |         3 |           1.20 |           3.59 |            18.041 |           1.80 |          0:58:00 |     3     0     0   100 |
|     FIRO/USDT |         2 |           1.71 |           3.41 |            17.796 |           1.78 |          0:52:00 |     2     0     0   100 |
|      PHA/USDT |         1 |           2.07 |           2.07 |            17.326 |           1.73 |          0:25:00 |     1     0     0   100 |
|      ZEN/USDT |         1 |           2.75 |           2.75 |            15.871 |           1.59 |          0:15:00 |     1     0     0   100 |
|      FIS/USDT |         2 |           0.38 |           0.77 |            15.726 |           1.57 |          0:22:00 |     2     0     0   100 |
|        T/USDT |         1 |           2.95 |           2.95 |            14.718 |           1.47 |          1:05:00 |     1     0     0   100 |
|      LSK/USDT |         1 |           0.53 |           0.53 |            14.641 |           1.46 |          0:35:00 |     1     0     0   100 |
|    LEVER/USDT |         1 |           1.44 |           1.44 |            14.142 |           1.41 |          0:25:00 |     1     0     0   100 |
|    STEEM/USDT |         1 |           2.10 |           2.10 |            14.136 |           1.41 |          1:05:00 |     1     0     0   100 |
|     HIGH/USDT |         1 |           1.62 |           1.62 |            13.471 |           1.35 |          0:15:00 |     1     0     0   100 |
|      XEC/USDT |         1 |           0.82 |           0.82 |            12.030 |           1.20 |          1:35:00 |     1     0     0   100 |
|     API3/USDT |         2 |           0.70 |           1.40 |            10.989 |           1.10 |  1 day, 21:08:00 |     1     0     1  50.0 |
|    FLOKI/USDT |         1 |           0.52 |           0.52 |            10.439 |           1.04 |          0:35:00 |     1     0     0   100 |
|      BEL/USDT |         1 |           0.92 |           0.92 |             9.937 |           0.99 |          0:15:00 |     1     0     0   100 |
|     COMP/USDT |         2 |           0.99 |           1.97 |             9.833 |           0.98 |          2:10:00 |     1     0     1  50.0 |
|     QTUM/USDT |         1 |           1.32 |           1.32 |             7.703 |           0.77 |          0:10:00 |     1     0     0   100 |
|      ARK/USDT |         1 |           0.39 |           0.39 |             6.834 |           0.68 |          0:30:00 |     1     0     0   100 |
|      KNC/USDT |         1 |           0.86 |           0.86 |             6.714 |           0.67 |          1:15:00 |     1     0     0   100 |
|     STMX/USDT |         1 |           0.88 |           0.88 |             6.545 |           0.65 |          0:20:00 |     1     0     0   100 |
|      AXS/USDT |         1 |           0.45 |           0.45 |             6.179 |           0.62 |          0:35:00 |     1     0     0   100 |
|   PEOPLE/USDT |         1 |           1.07 |           1.07 |             5.448 |           0.54 |          0:40:00 |     1     0     0   100 |
|      YGG/USDT |         1 |           0.68 |           0.68 |             5.333 |           0.53 |          2:15:00 |     1     0     0   100 |
|    STORJ/USDT |         1 |           0.80 |           0.80 |             4.312 |           0.43 |          0:50:00 |     1     0     0   100 |
