Result for strategy BinHV27_short
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|      LIT/USDT |      3 |           1.15 |           3.46 |           149.496 |          14.95 |        4:43:00 |     2     0     1  66.7 |
|      XRP/USDT |     12 |          -0.76 |          -9.15 |           149.223 |          14.92 |        4:58:00 |     5     0     7  41.7 |
|      GTC/USDT |      2 |           6.16 |          12.33 |           137.055 |          13.71 |        3:58:00 |     2     0     0   100 |
|     COMP/USDT |      1 |           5.39 |           5.39 |           135.982 |          13.60 |        3:15:00 |     1     0     0   100 |
|     UNFI/USDT |      2 |           2.24 |           4.48 |           114.146 |          11.41 |        5:50:00 |     1     0     1  50.0 |
|      OMG/USDT |      1 |           4.72 |           4.72 |           107.135 |          10.71 |        1:40:00 |     1     0     0   100 |
|     QTUM/USDT |      3 |           1.72 |           5.17 |           104.258 |          10.43 |       11:27:00 |     2     0     1  66.7 |
|      C98/USDT |      1 |           4.60 |           4.60 |           103.361 |          10.34 |        1:20:00 |     1     0     0   100 |
|    STORJ/USDT |      3 |           0.24 |           0.73 |            84.541 |           8.45 |        4:28:00 |     2     0     1  66.7 |
|    MATIC/USDT |      4 |          -0.23 |          -0.92 |            82.974 |           8.30 |        5:18:00 |     2     0     2  50.0 |
|     HBAR/USDT |      1 |           4.49 |           4.49 |            78.575 |           7.86 |        0:45:00 |     1     0     0   100 |
|    SUSHI/USDT |      3 |           3.70 |          11.11 |            78.144 |           7.81 |        2:37:00 |     2     0     1  66.7 |
|      CTK/USDT |      2 |           1.26 |           2.52 |            75.624 |           7.56 |        4:52:00 |     1     0     1  50.0 |
|      OGN/USDT |     10 |           0.61 |           6.10 |            74.314 |           7.43 |        3:55:00 |     7     0     3  70.0 |
|    ALICE/USDT |      2 |           3.92 |           7.84 |            65.811 |           6.58 |        1:42:00 |     1     0     1  50.0 |
|      CVC/USDT |      5 |           2.35 |          11.76 |            60.293 |           6.03 |        2:26:00 |     3     0     2  60.0 |
|      ONT/USDT |      3 |          -1.23 |          -3.69 |            39.151 |           3.92 |       16:03:00 |     1     0     2  33.3 |
