
Result for strategy BBMod
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|      RVN/USDT |     24 |           0.49 |          11.81 |          -474.337 |        -790.56 |        2:09:00 |    15     4     5  62.5 |
|     ALGO/USDT |     13 |          -0.90 |         -11.73 |          -493.392 |        -822.32 |        1:12:00 |     6     4     3  46.2 |
|      LTC/USDT |      7 |          -0.55 |          -3.86 |          -494.179 |        -823.63 |        1:41:00 |     2     3     2  28.6 |
|     CELR/USDT |     21 |           0.49 |          10.21 |          -514.290 |        -857.15 |        1:25:00 |    11     6     4  52.4 |
|      FIL/USDT |     16 |          -1.14 |         -18.24 |          -523.253 |        -872.09 |        2:12:00 |     8     3     5  50.0 |
|     ROSE/USDT |     22 |          -0.42 |          -9.33 |          -548.071 |        -913.45 |        1:14:00 |    13     1     8  59.1 |
|      ZRX/USDT |     32 |           0.02 |           0.68 |          -610.374 |       -1017.29 |        1:30:00 |    21     5     6  65.6 |
|      FLM/USDT |     53 |          -0.67 |         -35.31 |          -640.369 |       -1067.28 |        0:36:00 |    29     5    19  54.7 |
|     AVAX/USDT |     19 |           0.19 |           3.55 |          -667.501 |       -1112.50 |        2:16:00 |    11     4     4  57.9 |
|      ONT/USDT |     11 |          -0.77 |          -8.49 |          -669.623 |       -1116.04 |        3:50:00 |     7     2     2  63.6 |
|      NEO/USDT |      8 |          -1.25 |         -10.03 |          -700.877 |       -1168.13 |        1:21:00 |     5     0     3  62.5 |
|      KSM/USDT |     24 |          -1.48 |         -35.40 |          -700.927 |       -1168.21 |        1:43:00 |    11     6     7  45.8 |
|      ZEN/USDT |     16 |          -0.49 |          -7.87 |          -734.094 |       -1223.49 |        1:49:00 |     8     5     3  50.0 |
|     COMP/USDT |     24 |          -1.41 |         -33.82 |          -742.238 |       -1237.06 |        2:37:00 |    11     7     6  45.8 |
|     STMX/USDT |     21 |          -3.51 |         -73.75 |          -855.404 |       -1425.67 |        2:26:00 |     9     2    10  42.9 |
|     REEF/USDT |     16 |          -2.76 |         -44.20 |          -959.805 |       -1599.67 |        1:15:00 |     8     1     7  50.0 |
|      BEL/USDT |     34 |          -1.51 |         -51.31 |         -1323.101 |       -2205.17 |        0:35:00 |    19     1    14  55.9 |
|      ATA/USDT |     33 |           0.02 |           0.65 |         -1417.136 |       -2361.89 |        1:00:00 |    19     5     9  57.6 |
|         TOTAL |   3504 |           0.60 |        2098.35 |         21401.699 |       35669.50 |        1:20:00 |  2286   476   742  65.2 |
================================================================= ENTER TAG STATS ==================================================================
